Date,Region,Product,Salesperson,Units,UnitPrice,Revenue
2025-01-01,North,Monitor,Vikram Rao,4,11667,46668
2025-01-01,North,Monitor,Priya Singh,10,11906,119060
2025-01-02,North,Smartphone,Sneha Gupta,9,22224,200016
2025-01-02,South,Monitor,Karan Mehta,4,11939,47756
2025-01-03,North,Smartphone,Karan Mehta,6,21511,129066
2025-01-03,South,Tablet,Priya Singh,2,17783,35566
2025-01-03,East,Tablet,Vikram Rao,1,18413,18413
2025-01-03,North,Headphones,Priya Singh,9,3427,30843
2025-01-04,East,Smartwatch,Sneha Gupta,2,7636,15272
2025-01-04,South,Tablet,Priya Singh,4,18659,74636
2025-01-04,West,Tablet,Divya Nair,6,17392,104352
2025-01-04,East,Smartphone,Vikram Rao,2,22240,44480
2025-01-04,South,Smartwatch,Sneha Gupta,3,7969,23907
2025-01-04,East,Monitor,Sneha Gupta,6,12411,74466
2025-01-05,South,Laptop,Ananya Iyer,7,53722,376054
2025-01-05,South,Smartwatch,Ananya Iyer,4,8124,32496
2025-01-06,West,Smartphone,Vikram Rao,3,21442,64326
2025-01-06,East,Monitor,Karan Mehta,10,11879,118790
2025-01-06,South,Smartphone,Divya Nair,2,22562,45124
2025-01-06,North,Smartphone,Rahul Verma,7,22212,155484
2025-01-06,West,Headphones,Divya Nair,9,3412,30708
2025-01-07,North,Monitor,Priya Singh,9,12301,110709
2025-01-07,East,Laptop,Vikram Rao,7,53119,371833
2025-01-07,North,Monitor,Vikram Rao,9,12314,110826
2025-01-07,North,Monitor,Vikram Rao,9,12130,109170
2025-01-07,South,Tablet,Rahul Verma,9,18816,169344
2025-01-07,North,Smartwatch,Ananya Iyer,8,7615,60920
2025-01-08,East,Smartphone,Amit Sharma,4,22831,91324
2025-01-08,North,Laptop,Divya Nair,2,57628,115256
2025-01-08,South,Smartphone,Divya Nair,9,21263,191367
2025-01-08,West,Smartphone,Sneha Gupta,5,21777,108885
2025-01-09,West,Smartwatch,Divya Nair,2,7798,15596
2025-01-09,North,Tablet,Amit Sharma,10,18097,180970
2025-01-09,South,Laptop,Priya Singh,1,53509,53509
2025-01-09,North,Tablet,Priya Singh,9,17528,157752
2025-01-10,South,Smartwatch,Rahul Verma,10,8060,80600
2025-01-10,South,Headphones,Karan Mehta,4,3358,13432
2025-01-10,West,Tablet,Karan Mehta,7,17940,125580
2025-01-10,North,Monitor,Priya Singh,1,11883,11883
2025-01-10,East,Laptop,Sneha Gupta,4,53296,213184
2025-01-11,South,Headphones,Rahul Verma,5,3486,17430
2025-01-11,North,Headphones,Priya Singh,1,3553,3553
2025-01-11,North,Laptop,Sneha Gupta,3,54485,163455
2025-01-11,West,Smartphone,Karan Mehta,1,21262,21262
2025-01-11,North,Headphones,Vikram Rao,8,3424,27392
2025-01-12,West,Smartphone,Sneha Gupta,5,21378,106890
2025-01-12,North,Smartwatch,Amit Sharma,6,7645,45870
2025-01-12,West,Smartwatch,Rahul Verma,1,8368,8368
2025-01-12,North,Smartphone,Priya Singh,10,21049,210490
2025-01-12,South,Headphones,Priya Singh,10,3411,34110
2025-01-12,North,Smartwatch,Priya Singh,7,8125,56875
2025-01-13,East,Tablet,Sneha Gupta,6,17529,105174
2025-01-13,West,Smartphone,Vikram Rao,8,21595,172760
2025-01-13,North,Laptop,Divya Nair,10,57741,577410
2025-01-13,North,Laptop,Sneha Gupta,9,53708,483372
2025-01-13,East,Laptop,Sneha Gupta,6,53817,322902
2025-01-13,West,Smartwatch,Vikram Rao,10,8387,83870
2025-01-14,North,Monitor,Vikram Rao,2,12526,25052
2025-01-14,South,Tablet,Priya Singh,2,18436,36872
2025-01-14,South,Tablet,Vikram Rao,10,17479,174790
2025-01-14,East,Smartphone,Vikram Rao,9,21974,197766
2025-01-14,North,Laptop,Karan Mehta,5,52492,262460
2025-01-14,East,Smartphone,Vikram Rao,3,22530,67590
2025-01-15,West,Smartwatch,Amit Sharma,2,7660,15320
2025-01-15,South,Smartwatch,Amit Sharma,6,8066,48396
2025-01-15,South,Headphones,Rahul Verma,1,3432,3432
2025-01-15,North,Tablet,Sneha Gupta,4,18300,73200
2025-01-15,East,Smartwatch,Karan Mehta,10,8199,81990
2025-01-15,South,Smartphone,Rahul Verma,7,20954,146678
2025-01-16,West,Monitor,Sneha Gupta,5,11591,57955
2025-01-16,North,Headphones,Amit Sharma,8,3402,27216
2025-01-16,West,Tablet,Vikram Rao,4,17501,70004
2025-01-16,South,Headphones,Ananya Iyer,5,3627,18135
2025-01-17,East,Monitor,Karan Mehta,9,11797,106173
2025-01-17,North,Laptop,Vikram Rao,3,55443,166329
2025-01-17,East,Laptop,Priya Singh,10,54640,546400
2025-01-17,East,Headphones,Priya Singh,7,3639,25473
2025-01-18,East,Laptop,Karan Mehta,1,55109,55109
2025-01-18,South,Tablet,Karan Mehta,2,18807,37614
2025-01-18,East,Smartwatch,Ananya Iyer,2,8175,16350
2025-01-19,East,Monitor,Karan Mehta,6,11882,71292
2025-01-19,East,Smartwatch,Rahul Verma,4,7936,31744
2025-01-19,West,Monitor,Rahul Verma,10,12082,120820
2025-01-19,West,Smartwatch,Amit Sharma,5,7829,39145
2025-01-20,East,Headphones,Divya Nair,8,3561,28488
2025-01-20,West,Monitor,Rahul Verma,2,11740,23480
2025-01-20,East,Laptop,Sneha Gupta,5,53485,267425
2025-01-20,South,Smartphone,Amit Sharma,1,21438,21438
2025-01-20,West,Smartwatch,Priya Singh,8,7931,63448
2025-01-21,South,Monitor,Karan Mehta,8,11879,95032
2025-01-21,South,Monitor,Amit Sharma,2,12334,24668
2025-01-21,South,Smartphone,Divya Nair,1,22126,22126
2025-01-21,North,Headphones,Rahul Verma,8,3558,28464
2025-01-21,East,Headphones,Karan Mehta,9,3481,31329
2025-01-21,South,Monitor,Divya Nair,8,11711,93688
2025-01-22,East,Smartwatch,Divya Nair,4,7819,31276
2025-01-22,North,Monitor,Vikram Rao,4,11726,46904
2025-01-22,East,Smartwatch,Priya Singh,3,7720,23160
2025-01-23,South,Monitor,Sneha Gupta,2,11897,23794
2025-01-23,East,Smartwatch,Divya Nair,7,7649,53543
2025-01-23,West,Headphones,Amit Sharma,10,3458,34580
2025-01-23,North,Tablet,Vikram Rao,7,18636,130452
2025-01-23,West,Smartwatch,Sneha Gupta,8,7775,62200
2025-01-24,West,Laptop,Karan Mehta,6,55928,335568
2025-01-24,West,Monitor,Rahul Verma,8,12503,100024
2025-01-24,North,Headphones,Amit Sharma,2,3549,7098
2025-01-24,South,Headphones,Rahul Verma,1,3416,3416
2025-01-24,East,Smartphone,Divya Nair,6,21642,129852
2025-01-25,East,Headphones,Vikram Rao,2,3489,6978
2025-01-25,North,Tablet,Sneha Gupta,2,18506,37012
2025-01-25,North,Laptop,Sneha Gupta,4,56865,227460
2025-01-25,South,Smartphone,Rahul Verma,8,22372,178976
2025-01-25,South,Headphones,Vikram Rao,6,3383,20298
2025-01-26,North,Smartphone,Vikram Rao,2,22173,44346
2025-01-26,East,Smartwatch,Karan Mehta,7,8353,58471
2025-01-26,South,Laptop,Sneha Gupta,2,56084,112168
2025-01-26,East,Monitor,Priya Singh,10,12339,123390
2025-01-26,East,Smartwatch,Karan Mehta,6,7655,45930
2025-01-26,East,Laptop,Karan Mehta,8,52830,422640
2025-01-27,West,Monitor,Rahul Verma,7,11611,81277
2025-01-27,East,Smartwatch,Divya Nair,8,7948,63584
2025-01-27,East,Tablet,Sneha Gupta,2,17602,35204
2025-01-27,West,Smartphone,Divya Nair,10,22242,222420
2025-01-28,East,Laptop,Divya Nair,6,53250,319500
2025-01-28,South,Tablet,Vikram Rao,6,17603,105618
2025-01-28,East,Smartwatch,Amit Sharma,9,8358,75222
2025-01-28,North,Smartphone,Karan Mehta,8,22121,176968
2025-01-28,South,Monitor,Divya Nair,8,11937,95496
2025-01-29,North,Tablet,Sneha Gupta,7,18345,128415
2025-01-29,East,Monitor,Ananya Iyer,8,12064,96512
2025-01-30,West,Monitor,Ananya Iyer,6,12243,73458
2025-01-30,East,Tablet,Vikram Rao,4,17317,69268
2025-01-30,South,Tablet,Priya Singh,9,18811,169299
2025-01-30,South,Smartphone,Sneha Gupta,8,21508,172064
2025-01-31,East,Laptop,Sneha Gupta,5,53501,267505
2025-01-31,South,Tablet,Amit Sharma,9,17327,155943
2025-01-31,North,Laptop,Vikram Rao,3,55758,167274
2025-01-31,West,Laptop,Amit Sharma,10,53813,538130
2025-01-31,West,Headphones,Ananya Iyer,3,3662,10986
2025-01-31,East,Headphones,Priya Singh,2,3465,6930
2025-02-01,North,Smartphone,Rahul Verma,10,22988,229880
2025-02-01,North,Smartphone,Priya Singh,9,22581,203229
2025-02-02,South,Smartwatch,Karan Mehta,8,8326,66608
2025-02-02,East,Smartwatch,Karan Mehta,5,8054,40270
2025-02-02,North,Smartwatch,Priya Singh,4,8100,32400
2025-02-02,East,Monitor,Priya Singh,3,11687,35061
2025-02-02,North,Smartphone,Amit Sharma,7,21891,153237
2025-02-02,West,Tablet,Amit Sharma,4,17618,70472
2025-02-03,West,Laptop,Sneha Gupta,5,56583,282915
2025-02-03,South,Headphones,Priya Singh,9,3403,30627
2025-02-03,South,Tablet,Rahul Verma,2,17207,34414
2025-02-03,East,Smartwatch,Vikram Rao,8,7699,61592
2025-02-04,West,Tablet,Divya Nair,8,17244,137952
2025-02-04,North,Headphones,Ananya Iyer,10,3412,34120
2025-02-04,North,Smartphone,Amit Sharma,5,22167,110835
2025-02-04,South,Headphones,Divya Nair,5,3388,16940
2025-02-05,West,Monitor,Divya Nair,2,11964,23928
2025-02-05,West,Tablet,Ananya Iyer,2,18643,37286
2025-02-05,East,Headphones,Divya Nair,5,3556,17780
2025-02-05,West,Smartwatch,Amit Sharma,8,7670,61360
2025-02-05,East,Tablet,Priya Singh,7,18656,130592
2025-02-05,North,Monitor,Divya Nair,7,11465,80255
2025-02-06,East,Smartwatch,Divya Nair,8,8207,65656
2025-02-06,South,Tablet,Rahul Verma,5,17888,89440
2025-02-06,West,Laptop,Amit Sharma,10,56646,566460
2025-02-06,South,Tablet,Amit Sharma,9,17834,160506
2025-02-06,South,Laptop,Divya Nair,2,55812,111624
2025-02-06,South,Headphones,Vikram Rao,9,3571,32139
2025-02-07,West,Headphones,Sneha Gupta,8,3517,28136
2025-02-07,West,Smartphone,Rahul Verma,2,21507,43014
2025-02-07,West,Tablet,Vikram Rao,1,17609,17609
2025-02-07,East,Smartwatch,Divya Nair,3,7957,23871
2025-02-07,West,Tablet,Ananya Iyer,9,18473,166257
2025-02-08,West,Tablet,Sneha Gupta,4,18129,72516
2025-02-08,South,Headphones,Amit Sharma,6,3585,21510
